"column","district","restaurantName","address","contactInfo","googlereviewlink","openingtime","latitude","longitude","ratingintotaloffive","ratingcategories","restauranttype","restaurantcoverphotourl"
"1","大學城","淡大老四川牛肉麵","251新北市淡水區北新路182巷5弄3號","(02) 226251245","https://reurl.cc/4o0YGL","星期一~星期四:09:00–20:30/星期五~星期日:09:00–20:00","25.1773737","121.4474727","4.3","4.5分或以上","麵食館","https://raw.githubusercontent.com/paulLamProgramming/foodmapimageinTamsui/main/%E5%A4%A7%E5%AD%B8%E5%9F%8Egithub/%E6%B7%A1%E5%A4%A7%E8%80%81%E5%9B%9B%E5%B7%9D%E7%89%9B%E8%82%89%E9%BA%B5/IMG_7613.PNG"
"2","大學城","飯糰霸韓式海苔飯捲","251新北市淡水區(店面在淡大老四川牛肉麵的左邊)","0910-320-018、(02) 2628-3725","https://reurl.cc/x7re4Z","星期一~星期日:10:00–19:00","25.1773615","121.4474312","3.7","3分或以上","日式料理餐廳","https://raw.githubusercontent.com/paulLamProgramming/foodmapimageinTamsui/main/%E5%A4%A7%E5%AD%B8%E5%9F%8Egithub2/%E9%A3%AF%E7%B3%B0%E9%9C%B8%E9%9F%93%E5%BC%8F%E6%B5%B7%E8%8B%94%E9%A3%AF%E6%8D%B2/IMG_7616.PNG"
"3","大學城","大陸麵店","251新北市淡水區北新路182巷5弄25號1樓","(02) 226253231","https://reurl.cc/RzZREx","星期一~星期六:11:30–20:30/星期日:休息","25.1766344","121.25692","4.1","4分或以上","麵食館","https://raw.githubusercontent.com/paulLamProgramming/foodmapimageinTamsui/main/%E5%A4%A7%E5%AD%B8%E5%9F%8Egithub/%E5%A4%A7%E9%99%B8%E9%BA%B5%E5%BA%97/IMG_7622.PNG"
"4","大學城","力霸椒麻雞","251新北市淡水區北新路182巷5弄18號","(02) 226200408","https://reurl.cc/656Xxb","星期一~星期五:11:00–20:30/星期六、星期日:休息","25.177447","121.4470769","4","4分或以上","便當店","https://raw.githubusercontent.com/paulLamProgramming/foodmapimageinTamsui/main/%E5%A4%A7%E5%AD%B8%E5%9F%8Egithub/%E5%8A%9B%E9%9C%B8%E6%A4%92%E9%BA%BB%E9%9B%9E/IMG_7695.PNG"
"5","大學城","士林廟口阿輝麵線淡大店","251新北市淡水區北新路182巷5弄36號","0926-045-767","https://reurl.cc/656XMO","星期一~星期五:10:30–23:30/星期六、星期日:休息","25.1773066","121.4467487","4.4","4分或以上","麵食館","https://raw.githubusercontent.com/paulLamProgramming/foodmapimageinTamsui/main/%E5%A4%A7%E5%AD%B8%E5%9F%8Egithub/%E5%A3%AB%E6%9E%97%E5%BB%9F%E5%8F%A3%E9%98%BF%E8%BC%9D%E9%BA%B5%E7%B7%9A%E6%B7%A1%E5%A4%A7%E5%BA%97/IMG_7647.PNG"
"6","大學城","文化大學牛肉拌麵 (淡水)","251新北市淡水區北新路182巷21弄18號","(02) 226238220","https://reurl.cc/OvyQar","星期一~星期日:10:30–20:30","25.1772128","121.4460827","4.7","4.5分或以上","台式料理店","https://raw.githubusercontent.com/paulLamProgramming/foodmapimageinTamsui/main/%E5%A4%A7%E5%AD%B8%E5%9F%8Egithub/%E6%96%87%E5%8C%96%E5%A4%A7%E5%AD%B8%E7%89%9B%E8%82%89%E6%8B%8C%E9%BA%B5%20(%E6%B7%A1%E6%B0%B4)/IMG_7688.PNG"
"7","大學城","吃呼義料","251新北市淡水區北新路182巷21弄13號","(02) 226298046","https://reurl.cc/7k1YAQ","星期一~星期四:11:00–14:30、16:00–20:00/星期日:11:00–14:30、17:00–20:00/星期五:11:00–14:00/星期六:休息","25.1770108","121.4458605","4","4分或以上","義式料理餐廳","https://raw.githubusercontent.com/paulLamProgramming/foodmapimageinTamsui/main/%E5%A4%A7%E5%AD%B8%E5%9F%8Egithub/%E5%90%83%E5%91%BC%E7%BE%A9%E6%96%99/IMG_7718.PNG"
"8","大學城","好吃刈包糯米腸","251新北市淡水區北新路182巷13號","0937-340-622","https://reurl.cc/AANXeE","星期一~星期四、星期日:11:00–20:00/星期五、星期六:休息","25.1777926","121.4466298","4.3","4分或以上","台式料理店","https://raw.githubusercontent.com/paulLamProgramming/foodmapimageinTamsui/main/%E5%A4%A7%E5%AD%B8%E5%9F%8Egithub/%E5%A5%BD%E5%90%83%E5%88%88%E5%8C%85%E7%B3%AF%E7%B1%B3%E8%85%B8/IMG_7657.PNG"
"9","大學城","老發港式小廚","251新北市淡水區北新路182巷5弄26號","(02) 286313866","https://reurl.cc/aVWEmQ","星期一、星期三~星期五:11:00–20:00/星期六:12:00–20:00/星期日:休息","25.1774214","121.4469509","4.3","4分或以上","港式料理餐廳","https://raw.githubusercontent.com/paulLamProgramming/foodmapimageinTamsui/main/%E5%A4%A7%E5%AD%B8%E5%9F%8Egithub/%E8%80%81%E7%99%BC%E6%B8%AF%E5%BC%8F%E5%B0%8F%E5%BB%9A/IMG_7704.PNG"
"10","大學城","淡水盒 x 活力餐廚（淡水店）","251新北市淡水區北新路182巷31號","0912-689-660","https://reurl.cc/p6k8ed","星期一~星期日:11:00–20:00","25.1774835","121.4460844","4.3","4分或以上","健康餐廳","https://raw.githubusercontent.com/paulLamProgramming/foodmapimageinTamsui/main/%E5%A4%A7%E5%AD%B8%E5%9F%8Egithub/%E6%B7%A1%E6%B0%B4%E7%9B%92%20x%20%E6%B4%BB%E5%8A%9B%E9%A4%90%E5%BB%9A%EF%BC%88%E6%B7%A1%E6%B0%B4%E5%BA%97%EF%BC%89/IMG_7689.PNG"
